Status Account,Months,Credit History,Purpose,Credit Amount,Savings,Employment,Installment Rate,Personal Status,Guarators,Residence,Property,Age,Other Installment,Housing,Credit Cards,Job,Dependents,Phone,Foreign Worker,Credit Rating
1,6,critical account,radio/television,1169,5,5,4,male (single),none,4,real estate,67,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,48,existing credits paid back duly till now,radio/television,5951,1,3,2,female (divorce),none,2,real estate,22,none,own,1,skilled-employee,1,none,yes,Bad
4,12,critical account,education,2096,1,4,2,male (single),none,3,real estate,49,none,own,1,unskilled - resident,2,none,yes,Good
1,42,existing credits paid back duly till now,furniture/equipment,7882,1,4,2,male (single),guarator,4,life insurance,45,none,for free,1,skilled-employee,2,none,yes,Good
1,24,delay in paying off in the past,car (new),4870,1,3,3,male (single),none,4,no property,53,none,for free,2,skilled-employee,2,none,yes,Bad
4,36,existing credits paid back duly till now,education,9055,5,3,2,male (single),none,4,no property,35,none,for free,1,unskilled - resident,2,"yes, registered under the customers name",yes,Good
4,24,existing credits paid back duly till now,furniture/equipment,2835,3,5,3,male (single),none,4,life insurance,53,none,own,1,skilled-employee,1,none,yes,Good
2,36,existing credits paid back duly till now,car (used),6948,1,3,2,male (single),none,2,car or other,35,none,rent,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
4,12,existing credits paid back duly till now,radio/television,3059,4,4,2,male (divorce),none,4,real estate,61,none,own,1,unskilled - resident,1,none,yes,Good
2,30,critical account,car (new),5234,1,1,4,male (married),none,2,car or other,28,none,own,2,highly qualified employee,1,none,yes,Bad
2,12,existing credits paid back duly till now,car (new),1295,1,2,3,female (divorce),none,1,car or other,25,none,rent,1,skilled-employee,1,none,yes,Bad
1,48,existing credits paid back duly till now,business,4308,1,2,3,female (divorce),none,4,life insurance,24,none,rent,1,skilled-employee,1,none,yes,Bad
2,12,existing credits paid back duly till now,radio/television,1567,1,3,1,female (divorce),none,1,car or other,22,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
1,24,critical account,car (new),1199,1,5,4,male (single),none,4,car or other,60,none,own,2,unskilled - resident,1,none,yes,Bad
1,15,existing credits paid back duly till now,car (new),1403,1,3,2,female (divorce),none,4,car or other,28,none,rent,1,skilled-employee,1,none,yes,Good
1,24,existing credits paid back duly till now,radio/television,1282,2,3,4,female (divorce),none,2,car or other,32,none,own,1,unskilled - resident,1,none,yes,Bad
4,24,critical account,radio/television,2424,5,5,4,male (single),none,4,life insurance,53,none,own,2,skilled-employee,1,none,yes,Good
1,30,no credits taken/ all credits paid back duly,business,8072,5,2,2,male (single),none,3,car or other,25,bank,own,3,skilled-employee,1,none,yes,Good
2,24,existing credits paid back duly till now,car (used),12579,1,5,4,female (divorce),none,2,no property,44,none,for free,1,highly qualified employee,1,"yes, registered under the customers name",yes,Bad
4,24,existing credits paid back duly till now,radio/television,3430,3,5,3,male (single),none,2,car or other,31,none,own,1,skilled-employee,2,"yes, registered under the customers name",yes,Good
4,9,critical account,car (new),2134,1,3,4,male (single),none,4,car or other,48,none,own,3,skilled-employee,1,"yes, registered under the customers name",yes,Good
1,6,existing credits paid back duly till now,radio/television,2647,3,3,2,male (single),none,3,real estate,44,none,rent,1,skilled-employee,2,none,yes,Good
1,10,critical account,car (new),2241,1,2,1,male (single),none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no,Good
2,12,critical account,car (used),1804,2,2,3,male (single),none,4,life insurance,44,none,own,1,skilled-employee,1,none,yes,Good
4,10,critical account,furniture/equipment,2069,5,3,2,male (married),none,1,car or other,26,none,own,2,skilled-employee,1,none,no,Good
1,6,existing credits paid back duly till now,furniture/equipment,1374,1,3,1,male (single),none,2,real estate,36,bank,own,1,unskilled - resident,1,"yes, registered under the customers name",yes,Good
4,6,no credits taken/ all credits paid back duly,radio/television,426,1,5,4,male (married),none,4,car or other,39,none,own,1,unskilled - resident,1,none,yes,Good
3,12,all credits at this bank paid back duly,radio/television,409,4,3,3,female (divorce),none,3,real estate,42,none,rent,2,skilled-employee,1,none,yes,Good
2,7,existing credits paid back duly till now,radio/television,2415,1,3,3,male (single),guarator,2,real estate,34,none,own,1,skilled-employee,1,none,yes,Good
1,60,delay in paying off in the past,business,6836,1,5,3,male (single),none,4,no property,63,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Bad
2,18,existing credits paid back duly till now,business,1913,4,2,3,male (married),none,3,real estate,36,bank,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
1,24,existing credits paid back duly till now,furniture/equipment,4020,1,3,2,male (single),none,2,car or other,27,stores,own,1,skilled-employee,1,none,yes,Good
2,18,existing credits paid back duly till now,car (new),5866,2,3,2,male (single),none,2,car or other,30,none,own,2,skilled-employee,1,"yes, registered under the customers name",yes,Good
4,12,critical account,business,1264,5,5,4,male (single),none,4,no property,57,none,rent,1,unskilled - resident,1,none,yes,Good
3,12,existing credits paid back duly till now,furniture/equipment,1474,1,2,4,female (divorce),none,1,life insurance,33,bank,own,1,highly qualified employee,1,"yes, registered under the customers name",yes,Good
2,45,critical account,radio/television,4746,1,2,4,male (single),none,2,life insurance,25,none,own,2,unskilled - resident,1,none,yes,Bad
4,48,critical account,education,6110,1,3,1,male (single),none,3,no property,31,bank,for free,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
3,18,existing credits paid back duly till now,radio/television,2100,1,3,4,male (single),co-applicant,2,real estate,37,stores,own,1,skilled-employee,1,none,yes,Bad
3,10,existing credits paid back duly till now,domestic appliances,1225,1,3,2,male (single),none,2,car or other,37,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,9,existing credits paid back duly till now,radio/television,458,1,3,4,male (single),none,3,real estate,24,none,own,1,skilled-employee,1,none,yes,Good
4,30,existing credits paid back duly till now,radio/television,2333,3,5,4,male (single),none,2,car or other,30,bank,own,1,highly qualified employee,1,none,yes,Good
2,12,existing credits paid back duly till now,radio/television,1158,3,3,3,male (divorce),none,1,car or other,26,none,own,1,skilled-employee,1,"yes, registered under the customers name",yes,Good
2,18,delay in paying off in the past,repairs,6204,1,3,2,male (single),none,4,real estate,44,none,own,1,unskilled - resident,2,"yes, registered under the customers name",yes,Good
1,30,critical account,car (used),6187,2,4,1,male (married),none,4,car or other,24,none,rent,2,skilled-employee,1,none,yes,Good
1,48,critical account,car (used),6143,1,5,4,female (divorce),none,4,no property,58,stores,for free,2,unskilled - resident,1,none,yes,Bad
4,11,critical account,car (new),1393,1,2,4,female (divorce),none,4,car or other,35,none,own,2,highly qualified employee,1,none,yes,Good
4,36,existing credits paid back duly till now,radio/television,2299,3,5,4,male (single),none,4,car or other,39,none,own,1,skilled-employee,1,none,yes,Good
1,6,existing credits paid back duly till now,car (used),1352,3,1,1,female (divorce),none,2,life insurance,23,none,rent,1,unskilled - non-resident,1,"yes, registered under the customers name",yes,Good
4,11,critical account,car (new),7228,1,3,1,male (single),none,4,life insurance,39,none,own,2,unskilled - resident,1,none,yes,Good
4,12,existing credits paid back duly till now,radio/television,2073,2,3,4,female (divorce),co-applicant,2,real estate,28,none,own,1,skilled-employee,1,none,yes,Good
2,24,delay in paying off in the past,furniture/equipment,2333,5,2,4,male (single),none,2,life insurance,29,bank,own,1,unskilled - resident,1,none,yes,Good
2,27,delay in paying off in the past,car (used),5965,1,5,1,male (single),none,2,car or other,30,none,own,2,highly qualified employee,1,"yes, registered under the customers name",yes,Good
